,date,time,comp,round,day,venue,result,gf,ga,opponent,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,xg_x,npxg,npxg/sh,g-xg,np:g-xg,match report_x,date_opp,time_opp,comp_opp,round_opp,day_opp,venue_opp,result_opp,gf_opp,ga_opp,opponent_opp,gls_opp,sh_opp,sot_opp,sot%_opp,g/sh_opp,g/sot_opp,dist_opp,fk_opp,pk_opp,pkatt_opp,xg_opp,npxg_opp,npxg/sh_opp,g-xg_opp,np:g-xg_opp,match report_opp,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,thr,launch%,avglen,opp,stp,stp%,#opa,avgdist,sota_opp,saves_opp,save%_opp,cs_opp,psxg_opp,psxg+/-_opp,pka_opp,pksv_opp,pkm_opp,cmp_opp,att_opp,cmp%_opp,thr_opp,launch%_opp,avglen_opp,opp_opp,stp_opp,stp%_opp,#opa_opp,avgdist_opp,totdist,prgdist,ast,xag,xa,kp,1-Mar,ppa,crspa,prgp,totdist_opp,prgdist_opp,ast_opp,xag_opp,xa_opp,kp_opp,1/3_opp,ppa_opp,crspa_opp,prgp_opp,live,dead,tb,sw,crs,ti,ck,in,out,str,off,blocks,live_opp,dead_opp,tb_opp,sw_opp,crs_opp,ti_opp,ck_opp,in_opp,out_opp,str_opp,off_opp,blocks_opp,sca,passlive,passdead,to,fld,def,gca,sca_opp,passlive_opp,passdead_opp,to_opp,fld_opp,def_opp,gca_opp,tkl,tklw,def 3rd,mid 3rd,att 3rd,tkl%,lost,pass,int,tkl+int,clr,err,tkl_opp,tklw_opp,def 3rd_opp,mid 3rd_opp,att 3rd_opp,tkl%_opp,lost_opp,pass_opp,int_opp,tkl+int_opp,clr_opp,err_opp,poss_x,touches,def pen,att pen,succ,succ%,tkld,tkld%,carries,prgc,cpa,mis,dis,rec,prgr,poss_opp,touches_opp,def pen_opp,att pen_opp,succ_opp,succ%_opp,tkld_opp,tkld%_opp,carries_opp,prgc_opp,cpa_opp,mis_opp,dis_opp,rec_opp,prgr_opp,crdy,crdr,2crdy,fls,pkwon,pkcon,og,recov,won,won%,crdy_opp,crdr_opp,2crdy_opp,fls_opp,pkwon_opp,pkcon_opp,og_opp,recov_opp,won_opp,won%_opp,xg_y,xga,poss_y,attendance,captain,formation,referee,match report_y,notes,team,season,xg
6,29/09/2020,22:00,Champions Lg,Play-off round,Tue,Home,W,3,0,be Gent,3,9,4,44.4,0.11,0.25,,,2,2,,,,,,Match Report,29/09/2020,22:00,Champions Lg,Play-off round,Tue,Away,L,0,3,be Gent,0,21,14,66.7,0,0,,,0,0,,,,,,Match Report,12,12,100,1,,,0,0,0,,,,,,,,,,,,2,1,50,0,,,2,0,0,,,,,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,12,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,12,0,,,,15,,,,,,,12,0,,,47,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,0,0,0,14,,,0,,,,3,0,0,21,,,0,,,,,,47,,Serhiy Sydorchuk,4/04/2002,Szymon Marciniak,Match Report,Leg 2 of 2; Dynamo Kyiv won,Dynamo Kyiv,2020-2021,
7,4/10/2020,17:00,Premier League,Regular season,Sun,Home,D,1,1,Zorya Luhansk,1,,,,,,,,0,0,,,,,,Match Report,4/10/2020,17:00,Premier League,Regular season,Sun,Away,D,1,1,Zorya Luhansk,1,,,,,,,,0,0,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,0,,,,2,0,0,,,,0,,,,,,,,Serhiy Sydorchuk,4-2-3-1,Kateryna Monzul,Match Report,,Dynamo Kyiv,2020-2021,
8,17/10/2020,17:00,Premier League,Regular season,Sat,Away,W,2,0,Рух,2,,,,,,,,0,0,,,,,,Match Report,17/10/2020,17:00,Premier League,Regular season,Sat,Home,L,0,2,Рух,0,,,,,,,,0,0,,,,,,Match Report,,,,1,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,2,0,0,,,,0,,,,,,,,Serhiy Sydorchuk,4-2-3-1,Ihor Paskhal,Match Report,,Dynamo Kyiv,2020-2021,
9,20/10/2020,19:55,Champions Lg,Group stage,Tue,Home,L,0,2,it Juventus,0,11,4,36.4,0,0,23.3,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,20/10/2020,19:55,Champions Lg,Group stage,Tue,Away,W,2,0,it Juventus,2,10,6,60,0.2,0.33,12,0,0,0,2,2,0.21,0,0,Match Report,6,4,66.7,0,,,0,0,0,,,,,,,,,,,,4,4,100,1,0.7,0.7,0,0,0,1,5,20,5,13,21.7,9,1,11.1,2,16,7843,1768,0,0.3,0.5,6,26,3,2,36,9354,2800,2,0.8,0.7,8,44,4,1,46,474,35,0,9,15,23,2,0,2,0,1,4,552,41,0,16,16,18,5,5,0,0,0,8,15,9,1,0,2,2,0,17,13,0,1,0,1,3,11,6,6,3,2,29.2,17,5,17,28,14,0,11,5,3,8,0,60,4,3,23,34,16,0,48,596,31,16,4,40,6,60,324,17,2,14,5,429,36,52,689,54,24,17,70.8,7,29.2,377,18,10,13,4,501,46,0,0,0,13,0,0,0,49,8,53.3,3,0,0,11,0,0,0,47,7,46.7,0.5,2,48,14850,Serhiy Sydorchuk,4/03/2003,Ovidiu Hațegan,Match Report,,Dynamo Kyiv,2020-2021,
10,24/10/2020,17:00,Premier League,Regular season,Sat,Home,W,1,0,FC Oleksandriya,1,,,,,,,,0,0,,,,,,Match Report,24/10/2020,17:00,Premier League,Regular season,Sat,Away,L,0,1,FC Oleksandriya,0,,,,,,,,0,0,,,,,,Match Report,,,,1,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,,,,0,,,,4,0,0,,,,0,,,,,,,,Serhiy Sydorchuk,4-2-3-1,Maksim Kozyryatskiy,Match Report,,Dynamo Kyiv,2020-2021,
11,28/10/2020,21:00,Champions Lg,Group stage,Wed,Away,D,2,2,hu Ferencváros,2,6,2,33.3,0.17,0.5,13.7,0,1,1,1.6,0.9,0.15,0.4,0.1,Match Report,28/10/2020,21:00,Champions Lg,Group stage,Wed,Home,D,2,2,hu Ferencváros,2,15,4,26.7,0.13,0.5,24,1,0,0,1,1,0.07,1,1,Match Report,4,2,50,0,1.8,-0.2,0,0,0,5,8,62.5,8,14.7,25.9,11,1,9.1,0,5,3,1,66.7,0,1.9,-0.1,1,0,0,5,6,83.3,3,17.6,26.3,4,0,0,0,15,8612,2635,0,0.4,0.6,4,22,9,2,25,8751,2629,2,1,0.4,14,24,8,1,37,509,48,0,2,8,22,3,0,0,0,0,4,514,47,0,6,16,27,5,3,1,0,2,13,12,9,0,1,0,0,3,25,18,2,1,1,0,3,12,11,4,6,2,58.3,5,10,8,20,18,0,13,8,4,5,4,37.5,5,3,19,32,11,1,50,647,71,19,5,62.5,3,37.5,407,13,3,14,10,468,25,50,667,62,11,5,41.7,7,58.3,386,12,0,17,5,470,35,3,1,1,11,0,0,0,34,8,61.5,5,0,0,14,0,1,0,47,5,38.5,1.6,1,50,6171,Serhiy Sydorchuk,4-4-1-1,Ivan Kružliak,Match Report,,Dynamo Kyiv,2020-2021,
12,31/10/2020,19:30,Premier League,Regular season,Sat,Away,W,2,1,SK Dnipro-1,1,,,,,,,,0,0,,,,,,Match Report,31/10/2020,19:30,Premier League,Regular season,Sat,Home,L,1,2,SK Dnipro-1,1,,,,,,,,0,0,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,0,,,,3,0,0,,,,1,,,,,,,,Viktor Tsyhankov,4-2-3-1,Dmytro Kryvushkin,Match Report,,Dynamo Kyiv,2020-2021,
13,4/11/2020,21:00,Champions Lg,Group stage,Wed,Away,L,1,2,es Barcelona,1,8,7,87.5,0.13,0.14,9.9,0,0,0,2.7,2.7,0.36,-1.7,-1.7,Match Report,4/11/2020,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,es Barcelona,2,21,13,61.9,0.05,0.08,16.4,1,1,1,3.5,3.2,0.16,-1.5,-2.2,Match Report,14,12,92.9,0,5.4,3.4,1,0,0,3,6,50,5,22.2,28.1,13,0,0,0,8.5,7,6,85.7,0,3.4,2.4,0,0,0,1,1,100,5,0,19.7,13,0,0,0,9.8,6812,2447,0,1.9,1.3,6,18,6,3,29,10627,2990,1,2.6,2.2,16,68,21,4,82,415,42,2,3,19,8,8,1,2,0,0,7,756,36,2,1,14,16,10,4,1,0,2,8,13,9,2,1,0,0,1,39,30,0,6,2,0,4,18,8,13,3,2,30,14,8,18,36,19,0,5,2,0,4,1,33.3,8,5,7,12,9,0,37,556,99,19,8,66.7,4,33.3,322,25,7,10,1,386,29,63,878,42,44,14,70,6,30,642,33,12,10,12,725,82,1,0,0,4,0,1,0,33,5,55.6,0,0,0,10,1,0,0,36,4,44.4,2.7,3.5,37,,Viktor Tsyhankov,4-2-3-1,Michael Oliver,Match Report,,Dynamo Kyiv,2020-2021,
14,8/11/2020,17:00,Premier League,Regular season,Sun,Home,L,0,3,Shakhtar,0,,,,,,,,0,0,,,,,,Match Report,8/11/2020,17:00,Premier League,Regular season,Sun,Away,W,3,0,Shakhtar,3,,,,,,,,0,0,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,1,,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,0,,,,3,0,0,,,,0,,,,,,,,Serhiy Sydorchuk,4-2-3-1,Kateryna Monzul,Match Report,,Dynamo Kyiv,2020-2021,
15,21/11/2020,14:00,Premier League,Regular season,Sat,Away,W,2,0,FK Inhulets,2,,,,,,,,0,0,,,,,,Match Report,21/11/2020,14:00,Premier League,Regular season,Sat,Home,L,0,2,FK Inhulets,0,,,,,,,,0,0,,,,,,Match Report,,,,1,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,0,,,,3,0,0,,,,0,,,,,,,,Vitaliy Buyalskyi,4-2-3-1,Maksim Kozyryatskiy,Match Report,,Dynamo Kyiv,2020-2021,
16,24/11/2020,22:00,Champions Lg,Group stage,Tue,Home,L,0,4,es Barcelona,0,7,3,42.9,0,0,17.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,24/11/2020,22:00,Champions Lg,Group stage,Tue,Away,W,4,0,es Barcelona,4,15,6,40,0.2,0.5,18.2,0,1,1,3,2.2,0.15,1,0.8,Match Report,6,3,50,0,,,1,0,0,,,,,,,,,,,,3,3,100,1,0.2,0.2,0,0,0,0,1,0,2,0,21.5,6,0,0,0,10.3,4214,1374,0,0.3,0.3,6,28,7,2,24,10490,3150,3,2.1,1.7,12,44,9,0,65,317,26,0,3,8,13,2,1,0,0,3,7,776,58,1,2,17,33,6,4,1,0,1,13,8,5,1,0,1,0,0,29,23,2,1,1,0,7,25,15,11,14,0,39.3,17,12,20,45,30,0,6,3,2,3,1,23.1,10,7,13,19,6,2,31,482,41,15,10,76.9,3,23.1,266,17,3,15,3,263,24,69,943,43,42,17,60.7,11,39.3,509,23,11,16,14,735,64,1,0,0,11,0,1,0,59,8,50,1,0,0,6,1,0,0,53,8,50,0.3,3,31,,Vitaliy Buyalskyi,4-4-1-1,Matej Jug,Match Report,,Dynamo Kyiv,2020-2021,
17,28/11/2020,17:00,Premier League,Regular season,Sat,Home,W,2,0,Vorskla Poltava,2,,,,,,,,0,0,,,,,,Match Report,28/11/2020,17:00,Premier League,Regular season,Sat,Away,L,0,2,Vorskla Poltava,0,,,,,,,,0,0,,,,,,Match Report,,,,1,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,0,,,,4,1,0,,,,0,,,,,,,,Viktor Tsyhankov,4-2-3-1,Yury Ivanov,Match Report,,Dynamo Kyiv,2020-2021,
18,2/12/2020,21:00,Champions Lg,Group stage,Wed,Away,L,0,3,it Juventus,0,7,3,42.9,0,0,20.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report,2/12/2020,21:00,Champions Lg,Group stage,Wed,Home,W,3,0,it Juventus,3,17,7,41.2,0.18,0.43,15.4,0,0,0,2.9,2.9,0.17,0.1,0.1,Match Report,7,4,57.1,0,,,0,0,0,,,,,,,,,,,,3,3,100,1,0.8,0.8,0,0,0,1,1,100,3,5.9,22.1,10,0,0,0,6,7929,2155,0,0.5,0.6,5,34,8,3,45,9227,2944,3,2.6,1.1,16,34,11,3,47,507,39,0,7,12,21,5,0,0,0,0,7,606,47,0,6,20,20,8,5,3,0,3,7,10,9,0,1,0,0,0,32,25,2,3,0,0,6,8,4,4,2,2,13.3,13,6,20,27,18,0,19,13,6,10,3,36.4,7,6,16,35,18,0,47,644,45,15,7,63.6,4,36.4,448,13,2,12,15,479,45,53,755,53,35,13,86.7,2,13.3,524,24,6,11,6,561,47,2,0,0,12,0,0,0,37,2,15.4,1,0,0,8,0,0,0,41,12,80,0.6,2.9,47,,Serhiy Sydorchuk,4-1-4-1,Stéphanie Frappart,Match Report,,Dynamo Kyiv,2020-2021,
19,5/12/2020,19:30,Premier League,Regular season,Sat,Away,W,2,1,FC Mariupol,2,,,,,,,,0,0,,,,,,Match Report,5/12/2020,19:30,Premier League,Regular season,Sat,Home,L,1,2,FC Mariupol,1,,,,,,,,0,0,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,0,,,,4,0,0,,,,0,,,,,,,,Viktor Tsyhankov,4-2-3-1,Andrii Kovalenko,Match Report,,Dynamo Kyiv,2020-2021,
20,8/12/2020,22:00,Champions Lg,Group stage,Tue,Home,W,1,0,hu Ferencváros,1,4,2,50,0.25,0.5,16,0,0,0,0.5,0.5,0.12,0.5,0.5,Match Report,8/12/2020,22:00,Champions Lg,Group stage,Tue,Away,L,0,1,hu Ferencváros,0,8,2,25,0,0,19,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report,2,2,100,1,,,0,0,0,,,,,,,,,,,,2,1,50,0,0.8,-0.2,0,0,0,5,11,45.5,3,29.4,30.6,10,0,0,3,21.5,5090,1672,1,0.4,0.4,2,16,2,2,21,8977,2628,0,0.6,0.4,7,25,4,0,40,357,38,1,0,11,18,2,1,0,0,2,6,533,57,1,3,16,30,5,4,0,0,0,16,8,7,1,0,0,0,2,13,10,1,2,0,0,0,13,5,6,7,0,30.8,9,16,19,32,34,1,12,9,6,5,1,50,3,7,6,18,7,0,42,522,46,7,3,50,3,50,287,7,1,20,9,293,21,58,677,46,16,9,69.2,4,30.8,427,18,4,16,9,447,40,2,0,0,15,0,0,0,53,20,55.6,4,0,0,18,0,0,0,56,16,44.4,0.5,0.7,42,,Serhiy Sydorchuk,4/04/2002,Andreas Ekberg,Match Report,,Dynamo Kyiv,2020-2021,
21,12/12/2020,17:00,Premier League,Regular season,Sat,Home,D,2,2,FK Kolos,2,,,,,,,,1,1,,,,,,Match Report,12/12/2020,17:00,Premier League,Regular season,Sat,Away,D,2,2,FK Kolos,2,,,,,,,,1,1,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,,1,0,0,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,0,,,,6,1,0,,,,0,,,,,,,,Viktor Tsyhankov,4-2-3-1,Ihor Paskhal,Match Report,,Dynamo Kyiv,2020-2021,
22,13/02/2021,17:00,Premier League,Regular season,Sat,Home,W,3,1,Olimpik Donetsk,3,,,,,,,,0,0,,,,,,Match Report,13/02/2021,17:00,Premier League,Regular season,Sat,Away,L,1,3,Olimpik Donetsk,1,,,,,,,,0,0,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,0,,,,4,2,1,,,,0,,,,,,,,Serhiy Sydorchuk,4-2-3-1,Maksim Kozyryatskiy,Match Report,,Dynamo Kyiv,2020-2021,
23,18/02/2021,17:00,Europa Lg,Round of 32,Thu,Neutral,D,1,1,be Club Brugge,1,4,1,25,0.25,1,15.7,0,0,0,0.4,0.4,0.11,0.6,0.6,Match Report,18/02/2021,17:00,Europa Lg,Round of 32,Thu,Neutral,D,1,1,be Club Brugge,1,7,1,14.3,0.14,1,14.2,0,0,0,0.8,0.8,0.11,0.2,0.2,Match Report,1,0,0,0,,,0,0,0,,,,,,,,,,,,1,0,0,0,0.5,-0.5,0,0,0,2,14,14.3,3,44.8,36.7,8,0,0,1,22,5402,1691,1,0.4,0.5,3,21,5,2,29,6466,2436,1,0.8,0.6,7,27,4,2,37,419,44,0,3,11,27,3,2,0,0,1,13,486,52,0,0,23,31,4,2,2,0,2,12,8,8,0,0,0,0,2,13,10,2,0,0,0,2,21,14,8,11,2,31.3,11,10,13,34,26,0,10,3,5,1,4,22.2,7,11,9,19,12,0,48,583,30,14,7,77.8,2,22.2,367,10,2,12,8,335,29,52,626,42,15,11,68.8,5,31.3,378,15,4,21,16,392,37,2,0,0,8,0,0,0,69,20,50,1,0,0,15,0,0,0,70,20,50,0.4,0.8,48,3284,Serhiy Sydorchuk,4-2-3-1,Mattias Gestranius,Match Report,Leg 1 of 2,Dynamo Kyiv,2020-2021,
24,21/02/2021,19:30,Premier League,Regular season,Sun,Away,D,1,1,Desna Chernihiv,1,,,,,,,,1,1,,,,,,Match Report,21/02/2021,19:30,Premier League,Regular season,Sun,Home,D,1,1,Desna Chernihiv,1,,,,,,,,0,0,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,,1,0,0,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,0,,,,5,1,1,,,,0,,,,,,,2983,Serhiy Sydorchuk,4-2-3-1,Ihor Paskhal,Match Report,,Dynamo Kyiv,2020-2021,
25,25/02/2021,21:00,Europa Lg,Round of 32,Thu,Neutral,W,1,0,be Club Brugge,1,6,3,50,0.17,0.33,21.7,0,0,0,1,1,0.16,0,0,Match Report,25/02/2021,21:00,Europa Lg,Round of 32,Thu,Neutral,L,0,1,be Club Brugge,0,18,3,16.7,0,0,18.8,0,0,0,1,1,0.06,-1,-1,Match Report,3,3,100,1,,,0,0,0,,,,,,,,,,,,3,2,66.7,0,1.2,0.2,0,0,0,6,15,40,3,36.8,33.9,10,0,0,3,21.7,7341,2434,1,0.9,0.9,4,33,4,0,35,7430,2864,0,0.8,1.2,12,43,5,2,35,469,46,0,3,13,21,7,2,0,0,1,7,440,46,0,0,28,23,6,1,4,0,0,8,12,8,2,1,0,0,2,33,24,2,2,1,0,0,7,3,2,4,1,22.2,7,7,13,20,24,0,15,9,10,3,2,58.3,5,6,12,27,13,0,53,613,43,7,5,41.7,7,58.3,395,15,0,13,8,425,34,47,586,46,24,7,77.8,2,22.2,311,17,6,12,5,376,35,1,0,0,6,0,0,0,38,23,52.3,1,0,0,20,0,0,0,42,21,47.7,1,1,53,,Serhiy Sydorchuk,4-4-1-1,Srđan Jovanović,Match Report,Leg 2 of 2; Dynamo Kyiv won,Dynamo Kyiv,2020-2021,
26,28/02/2021,19:30,Premier League,Regular season,Sun,Away,W,4,1,FC Lviv,4,,,,,,,,1,1,,,,,,Match Report,28/02/2021,19:30,Premier League,Regular season,Sun,Home,L,1,4,FC Lviv,1,,,,,,,,0,0,,,,,,Match Report,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,,,1,0,0,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,2,0,0,,,,0,,,,,,,6973,Serhiy Sydorchuk,4-2-3-1,Dmytro Kryvushkin,Match Report,,Dynamo Kyiv,2020-2021,
27,7/03/2021,14:00,Premier League,Regular season,Sun,Home,W,3,0,FK Mynai,3,,,,,,,,1,1,,,,,,Match Report,7/03/2021,14:00,Premier League,Regular season,Sun,Away,L,0,3,FK Mynai,0,,,,,,,,0,0,,,,,,Match Report,,,,1,,,0,0,0,,,,,,,,,,,,,,,0,,,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,3,1,0,,,,0,,,,,,,3238,Serhiy Sydorchuk,4-2-3-1,Kateryna Monzul,Match Report,,Dynamo Kyiv,2020-2021,
28,11/03/2021,19:55,Europa Lg,Round of 16,Thu,Home,L,0,2,es Villarreal,0,8,0,0,0,,24.4,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report,11/03/2021,19:55,Europa Lg,Round of 16,Thu,Away,W,2,0,es Villarreal,2,15,6,40,0.13,0.33,13.2,1,0,0,2.7,2.7,0.2,-0.7,-0.7,Match Report,6,4,66.7,0,,,0,0,0,,,,,,,,,,,,0,0,,1,0,0,0,0,0,2,9,22.2,1,14.8,28.3,12,0,0,2,22.5,6500,1989,0,0.5,0.9,6,24,7,3,31,6765,2591,2,2.1,1.9,11,27,12,3,49,406,37,1,4,14,17,4,1,0,0,4,5,422,54,0,2,13,23,4,1,1,0,1,8,15,9,2,0,2,2,0,24,14,4,0,2,1,3,20,13,9,8,3,69.2,4,7,10,30,6,0,23,14,12,11,0,58.8,7,4,6,29,14,1,51,551,23,18,7,41.2,10,58.8,358,12,5,13,13,372,31,49,579,58,29,4,30.8,9,69.2,375,15,4,18,11,378,47,1,0,0,11,0,0,0,55,9,60,2,0,0,18,0,0,0,52,6,40,0.6,2.7,51,12751,Serhiy Sydorchuk,4-2-3-1,Michael Oliver,Match Report,Leg 1 of 2,Dynamo Kyiv,2020-2021,
29,14/03/2021,17:00,Premier League,Regular season,Sun,Away,W,2,0,Zorya Luhansk,2,,,,,,,,0,0,,,,,,Match Report,14/03/2021,17:00,Premier League,Regular season,Sun,Home,L,0,2,Zorya Luhansk,0,,,,,,,,0,0,,,,,,Match Report,,,,1,,,0,0,0,,,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,0,,,,3,0,0,,,,0,,,,,,,4127,Serhiy Sydorchuk,4-2-3-1,Yury Ivanov,Match Report,,Dynamo Kyiv,2020-2021,
30,18/03/2021,21:00,Europa Lg,Round of 16,Thu,Away,L,0,2,es Villarreal,0,4,2,50,0,0,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report,18/03/2021,21:00,Europa Lg,Round of 16,Thu,Home,W,2,0,es Villarreal,2,10,3,30,0.2,0.67,18.5,1,0,0,0.7,0.7,0.07,1.3,1.3,Match Report,4,2,50,0,,,0,0,0,,,,,,,,,,,,2,2,100,1,0.2,0.2,0,0,0,1,5,20,5,10,24.7,10,0,0,2,21.7,6732,1678,0,0.1,0.2,2,22,3,1,19,10035,3120,2,0.6,1.5,9,51,16,4,70,431,27,0,1,11,15,2,1,0,0,3,8,656,33,1,4,21,14,4,2,0,0,1,13,7,4,3,0,0,0,0,19,18,0,0,1,0,3,7,4,2,4,1,40,6,10,14,21,13,0,12,8,5,6,1,55.6,8,8,9,21,10,0,42,539,38,7,8,44.4,10,55.6,320,8,1,9,2,393,18,58,765,49,28,6,60,4,40,581,15,8,13,3,593,69,0,0,0,11,0,0,0,47,9,47.4,2,0,0,10,0,0,0,54,10,52.6,0.2,0.7,42,,Serhiy Sydorchuk,4-2-3-1,Andreas Ekberg,Match Report,Leg 2 of 2; Villarreal won,Dynamo Kyiv,2020-2021,
31,21/03/2021,17:00,Premier League,Regular season,Sun,Home,W,3,0,Рух,3,,,,,,,,0,1,,,,,,Match Report,21/03/2021,17:00,Premier League,Regular season,Sun,Away,L,0,3,Рух,0,,,,,,,,0,0,,,,,,Match Report,,,,1,,,0,0,0,,,,,,,,,,,,,,,0,,,0,1,0,,,,,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,0,,,,3,0,0,,,,0,,,,,,,,Serhiy Sydorchuk,4-2-3-1,Maksim Kozyryatskiy,Match Report,,Dynamo Kyiv,2020-2021,
